yyyy-mm-dd | x → transcript | title

2010-03-14 | bit.ly/3nvhJ1q | Quint renders a verdict in THE PEOPLE VS. GEORGE LUCAS at SXSW
2010-03-15 | bit.ly/3fatyHt | RedLetterMedia's Spin on the Crazed YouTube Reviewer
2010-04-05 | bit.ly/2HdKJeI | Red Letter Media at it Again With 90-Minute Review of Attack of the Clones
2010-04-06 | bit.ly/32SXYsU | YouTube Star Wars Sensation Explains Copyright Issues
2010-04-13 | bit.ly/3fc9Hb0 | Films Worth Watching According to Red Letter Media's Notorious Film Critic
2010-04-13 | bit.ly/3nwbdYi | The audience strikes back - Mike Stoklasa's very detailed (and very late) takedowns of Star Wars
2010-05-28 | bit.ly/35EPrvl | A redneck sinks George Lucas
2010-09-01 | bit.ly/32SXdzY | Plinkett Defends Movies Remakes with the New Star Trek Movie
2011-01-01 | bit.ly/3kCErCV | Roger Ebert - Revenge on Revenge of the Sith
2011-01-04 | bit.ly/3favgc0 | Mike Stoklasa unleashes Revenge Of The Sith review
2011-03-11 | bit.ly/3nAHAoW | Defunct Milwaukee arcade Aladdin’s Castle gets revived in area man’s basement
2011-03-12 | bit.ly/3lGUf9c | YOUTUBE SENSATION MR. PLINKETT BRANCHES OUT WITH WEEKLY REVIEW SHOW
2011-03-30 | bit.ly/3lGxeDj | 'Half In The Bag' is a Harsh Movie Review Web Series
2011-11-23 | bit.ly/2IKvU42 | Inside Red Letter Media's Obsessively Nerdy Brand of Humor
2012-02-10 | bit.ly/3lGgDQ0 | Red Letter Media's Phantom Menace Commentary Track
2012-02-27 | bit.ly/36KXMNl | Revenge of Red Letter Media (in 3-D!)
2012-06-26 | bit.ly/3pwzI9w | Mike Stoklasa - Not a Snarky, Complaining, Armchair Critic, Come On!
2012-09-20 | bit.ly/2HdL94M | 10 reasons to get excited for the 2012 Milwaukee Film Festival
2012-10-17 | bit.ly/3faQ6rm | Old Milwaukee Really Does Pay For Its Commercials With Beer, Not Money
2012-11-02 | bit.ly/2IBFt5q | 4 Reasons You Should Be Thrilled Disney Bought Star Wars
2013-01-31 | bit.ly/3nzm2sB | That Awful Film, Incredibly, Has a Following
2013-05-21 | bit.ly/3lLYGQc | Oswalt Live Tweets His TV Show Favorites
2013-06-03 | bit.ly/3nvSxYI | Red Letter Media Breaks Down References in Star Trek Into Darkness
2014-01-18 | bit.ly/2UApIhj | Hibernating - Chill out with offbeat shows, DVDs
2014-06-25 | bit.ly/3pAApyF | Madness Is Watching the First Three Transformers Movies All at Once
2014-07-30 | bit.ly/35GkzKM | Making the Case That Sonic the Hedgehog Is Way Overrated
2014-08-04 | bit.ly/2IOp6Sp | Previously Recorded - Sonic
2014-10-05 | bit.ly/33aAdwH | Why Sonic Needs To Slow Down
2014-12-02 | bit.ly/2IIOwBd | Mr. Plinkett of Red Letter Media Reacts to the Star Wars Episode VII The Force Awakens Teaser Trailer
2014-12-13 | bit.ly/32T3J9I | Rich Evans Reacts To The Star Wars The Force Awakens Trailer
2015-01-12 | bit.ly/2KcwWWJ | Red Letter Media Wants to Talk About How Awesome Boyhood Is
2015-01-27 | bit.ly/2UAq0Vr | Patton Oswalt on Movie Addiction, Star Wars, and the One Film He'd Watch on Loop
2015-04-15 | bit.ly/3kCF8w1 | 12 Fantastic YouTube Gaming Channels You Should Watch Right Now
2015-04-29 | bit.ly/3ffpUfp | Red Letter Media distills the formula for blockbuster trailers
2015-09-22 | bit.ly/36IemNP | Sort Characters from Cut-Outs with the Plinkett Test
2015-12-17 | bit.ly/35GSenY | Before The Force Awakens, Here's How to Bury the Hatchet with the Star Wars Prequels
2016-04-05 | bit.ly/2UHGiM5 | 8 Oddly Specific Trends That Will Change Movies Forever
2016-08-04 | bit.ly/2ILOAQL | Reddit Movies Hub Deletes Red Letter Media Video Critiquing Ghostbuster
2016-10-03 | bit.ly/36HxNXf | Red Letter Media issues its Force Awakens review, only 10 months after everybody else
2016-10-04 | bit.ly/3pGNFC6 | Hoth White - Why Diversity Matters in Star Wars
2016-10-31 | bit.ly/2IQ3C7J | What Makes a Cursed Image
2017-05-10 | bit.ly/36IRHRI | Rich Evans Auditions and Nearly Gets the Part for Blade Runner 2049
2017-06-21 | bit.ly/2IBd1AB | Atlanta's Videodrome Is the Last and Greatest Video Rental Store
2017-07-19 | bit.ly/32SZivS | The End Is Night Review Making Friends Is Hard
2017-08-09 | bit.ly/38QI8CJ | Red Letter Media Takes Down and Breaks Down the Ghostbusters Reboot.
2017-09-25 | bit.ly/38PVVtc | Real Good You Guys Super Best Friends Play
2017-11-01 | bit.ly/36MOYq7 | 6 Outrageous Ways Hollywood Can (and Will) Screw You Over
2017-11-30 | bit.ly/3pGO47A | Hack Frauds and Tum Festivals - Red Letter Media
2017-12-05 | bit.ly/3kGhT44 | Watch Red Letter Media watch ‘Surviving Edged Weapons,’ an insane Milwaukee police training tape from 1988
2017-12-11 | bit.ly/3fgc0d6 | Why I Love the Star Wars Prequels (and you should, too)
2017-12-19 | bit.ly/32Uf4GD | The End Is Night Is a More Brainy Brutal Platformer
2018-10-24 | bit.ly/2Uy7SeQ | Macaulay Culkin - Surprising appearance on YouTube critics
2018-11-30 | bit.ly/2UASG0z | People - Julia Roberts Wore a Bear Costume and Handed Out Birthday Cakes at Pizza Parlor as a Teenager
